"동별(1)",동별(2),동별(3),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,개인사업체,개인사업체,회사법인,회사법인,회사이외의 법인,회사이외의 법인,비법인단체,비법인단체
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),사업체수,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계
"합계",성동구,마장동,3911,1049,12829,8436,4393,3049,4927,717,5069,115,2376,30,457
"합계",성동구,사근동,1265,411,11126,5162,5964,957,2097,192,1076,100,7877,16,76
"합계",성동구,행당1동,1640,664,10704,4685,6019,1263,2802,280,3293,72,4273,25,336
"합계",성동구,행당2동,1024,495,2339,919,1420,922,1386,48,333,29,413,25,207
"합계",성동구,응봉동,655,267,1108,599,509,592,701,25,76,26,273,12,58
"합계",성동구,금호1가동,914,408,2156,883,1273,794,1190,64,282,37,429,19,255
"합계",성동구,금호4가동,989,445,2219,1018,1201,866,1428,63,378,43,298,17,115
"합계",성동구,성수1가1동,2783,870,14291,7668,6623,1785,3024,856,9805,92,1353,50,109
"합계",성동구,성수1가2동,4764,1449,27551,15557,11994,2566,5339,2021,20975,142,1103,35,134
"합계",성동구,성수2가1동,3169,968,17197,10912,6285,2069,3742,1010,12016,68,1190,22,249
"합계",성동구,성수2가3동,7509,1946,63465,36082,27383,3590,8531,3707,53074,175,1501,37,359
"합계",성동구,송정동,947,306,2799,1594,1205,772,1222,131,872,36,646,8,59
"합계",성동구,용답동,2368,662,13004,8651,4353,1684,2948,578,6566,84,3207,22,283
"합계",성동구,왕십리도선동,3165,1304,9832,4513,5319,2489,4625,531,3437,98,1450,47,320
"합계",성동구,금호2.3가동,1489,716,2943,1222,1721,1337,1997,73,251,50,315,29,380
"합계",성동구,옥수동,1455,703,4841,2323,2518,1162,2005,199,1961,62,642,32,233
"합계",광진구,소계,33295,12450,125475,66236,59239,26884,48229,4857,45074,1143,28845,411,3327
"합계",광진구,화양동,3152,1066,16382,8257,8125,2498,5674,525,3132,106,7471,23,105
"합계",광진구,군자동,2266,818,10424,5603,4821,1771,3383,393,3300,76,3584,26,157
"합계",광진구,중곡1동,2154,755,6517,3646,2871,1777,3039,298,2710,59,649,20,119
"합계",광진구,중곡2동,2329,934,7108,3592,3516,1948,3253,292,3023,61,633,28,199
"합계",광진구,중곡3동,1640,631,6105,2879,3226,1433,2515,131,887,58,2369,18,334
"합계",광진구,중곡4동,1988,749,4856,2597,2259,1750,2753,146,852,67,985,25,266
"합계",광진구,능동,1166,426,6154,2819,3335,843,1991,262,2187,52,1917,9,59
"합계",광진구,구의1동,2515,900,6361,3465,2896,2074,3394,335,1554,78,1112,28,301
"합계",광진구,구의2동,1878,730,5419,2617,2802,1595,2693,170,1491,87,1036,26,199
"합계",광진구,구의3동,3280,1147,13756,8192,5564,2370,4179,764,8053,104,1243,42,281
"합계",광진구,광장동,2214,918,13362,7620,5742,1569,2663,478,8426,121,1967,46,306
"합계",광진구,자양1동,2216,911,9692,4997,4695,1880,3655,245,3558,66,2104,25,375
"합계",광진구,자양2동,2097,691,5591,2983,2608,1785,2735,210,1085,70,1573,32,198
"합계",광진구,자양3동,2095,858,7242,3484,3758,1677,2786,311,2645,62,1536,45,275
"합계",광진구,자양4동,2305,916,6506,3485,3021,1914,3516,297,2171,76,666,18,153
"합계",동대문구,소계,43129,15054,145719,74198,71521,36229,64327,5008,40793,1364,34690,528,5909
"합계",동대문구,회기동,1335,522,11001,4942,6059,1078,2287,164,827,74,7817,19,70
"합계",동대문구,휘경1동,1424,591,3910,1809,2101,1210,1957,145,782,50,724,19,447
"합계",동대문구,휘경2동,1833,490,5821,2741,3080,1619,2218,101,414,84,2970,29,219
"합계",동대문구,청량리동,1922,713,8434,4101,4333,1622,3358,150,937,116,3543,34,596
"합계",동대문구,용신동,6964,2346,29113,14902,14211,5570,10258,1090,11991,246,6078,58,786
"합계",동대문구,제기동,5217,1842,11581,6273,5308,4518,7284,521,2779,127,974,51,544
"합계",동대문구,전농1동,3147,1287,8574,4098,4476,2596,4429,419,2331,93,1383,39,431
"합계",동대문구,전농2동,1518,576,5511,2750,2761,1259,1957,142,792,87,2532,30,230
